track_id;track_name;track_popularity;track_number;album_id;album_name;album_img;album_type;album_label;album_track_number;album_popularity;artist_num;artist_names;artist_id;artist_name;artist_img;artist_followers;artist_popularity;artist_genres;rank;week;collab;explicit;release_date;danceability;energy;key;mode;time_signature;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration;pivot;streams;track_index
1xznGGDReH1oQq0xzbwXa3;One Dance;0;12;3hARKC8cinq3mZLLAEaBh9;Views;https://i.scdn.co/image/ab67616d0000b273726abca207567d5e41cb9667;album;Universal Music Group;12;0;3;Drake, Wizkid, Kyla;3TVXtAsR1Inumwj472S9r4;Drake;https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9;67940172;95;canadian hip hop, canadian pop, hip hop, rap, toronto rap;12;1/6/2017;TRUE;FALSE;2016-05-06;791;619;1;1;4;-5.886;0.0532;0.00784;0.00423;351;371;103.989;173986;0;15958402;12
1xznGGDReH1oQq0xzbwXa3;One Dance;0;12;3hARKC8cinq3mZLLAEaBh9;Views;https://i.scdn.co/image/ab67616d0000b273726abca207567d5e41cb9667;album;Universal Music Group;12;0;3;Drake, Wizkid, Kyla;3tVQdUvClmAT7URs9V3rsp;Wizkid;https://i.scdn.co/image/ab6761610000e5eb9050b61368975fda051cdc06;2762778;77;afro dancehall, afropop, azonto, nigerian hip hop, nigerian pop;12;1/6/2017;TRUE;FALSE;2016-05-06;791;619;1;1;4;-5.886;0.0532;0.00784;0.00423;351;371;103.989;173986;1;15958402;12
1xznGGDReH1oQq0xzbwXa3;One Dance;0;12;3hARKC8cinq3mZLLAEaBh9;Views;https://i.scdn.co/image/ab67616d0000b273726abca207567d5e41cb9667;album;Universal Music Group;12;0;3;Drake, Wizkid, Kyla;77DAFfvm3O9zT5dIoG0eIO;Kyla;https://i.scdn.co/image/ab6761610000e5eb2d9aaa502544d0538d8f42a1;12937;69;uk funky;12;1/6/2017;TRUE;FALSE;2016-05-06;791;619;1;1;4;-5.886;0.0532;0.00784;0.00423;351;371;103.989;173986;1;15958402;12
6mICuAdrwEjh6Y6lroV2Kg;Chantaje (feat. Maluma);76;3;6bUxh58rYTL67FS8dyTKMN;El Dorado;https://i.scdn.co/image/ab67616d0000b273d05d3aad30c5fb7614893cf5;album;Sony Music Latin;3;69;2;Shakira, Maluma;0EmeFodog0BfCgMzAIvKQp;Shakira;https://i.scdn.co/image/ab6761610000e5eb284894d68fe2f80cad555110;25286838;86;colombian pop, dance pop, latin pop;13;1/6/2017;TRUE;FALSE;2017-05-26;852;773;8;0;4;-2.921;0.0776;187;3.05e-05;159;907;102.034;195840;0;14458068;13
6mICuAdrwEjh6Y6lroV2Kg;Chantaje (feat. Maluma);76;3;6bUxh58rYTL67FS8dyTKMN;El Dorado;https://i.scdn.co/image/ab67616d0000b273d05d3aad30c5fb7614893cf5;album;Sony Music Latin;3;69;2;Shakira, Maluma;1r4hJ1h58CWwUQe3MxPuau;Maluma;https://i.scdn.co/image/ab6761610000e5eb4588e958f69a086df6a9f81f;32443342;85;reggaeton, reggaeton colombiano, trap latino;13;1/6/2017;TRUE;FALSE;2017-05-26;852;773;8;0;4;-2.921;0.0776;187;3.05e-05;159;907;102.034;195840;1;14458068;13
6DNtNfH8hXkqOX1sjqmI7p;Cold Water (feat. Justin Bieber & MØ);0;1;3o99825qhG7K7D07naRs4F;Cold Water (feat. Justin Bieber & MØ);https://i.scdn.co/image/ab67616d0000b2732e8f1cca2bc8c9d55930523b;single;Because Music/WMI;1;0;3;Major Lazer, Justin Bieber, MØ;738wLrAtLtCtFOLvQBXOXp;Major Lazer;https://i.scdn.co/image/ab6761610000e5eb133f44ab343b35c715a4ac97;6310302;75;dance pop, edm, electro house, moombahton, pop, pop dance, pop rap, tropical house;14;1/6/2017;TRUE;FALSE;2016-07-22;608;798;6;0;4;-5.092;0.0432;0.0736;0;156;501;92.943;185351;0;14278458;14
6DNtNfH8hXkqOX1sjqmI7p;Cold Water (feat. Justin Bieber & MØ);0;1;3o99825qhG7K7D07naRs4F;Cold Water (feat. Justin Bieber & MØ);https://i.scdn.co/image/ab67616d0000b2732e8f1cca2bc8c9d55930523b;single;Because Music/WMI;1;0;3;Major Lazer, Justin Bieber, MØ;1uNFoZAHBGtllmzznpCI3s;Justin Bieber;https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36;66698299;91;canadian pop, pop;14;1/6/2017;TRUE;FALSE;2016-07-22;608;798;6;0;4;-5.092;0.0432;0.0736;0;156;501;92.943;185351;1;14278458;14
6DNtNfH8hXkqOX1sjqmI7p;Cold Water (feat. Justin Bieber & MØ);0;1;3o99825qhG7K7D07naRs4F;Cold Water (feat. Justin Bieber & MØ);https://i.scdn.co/image/ab67616d0000b2732e8f1cca2bc8c9d55930523b;single;Because Music/WMI;1;0;3;Major Lazer, Justin Bieber, MØ;0bdfiayQAKewqEvaU6rXCv;MØ;https://i.scdn.co/image/ab6761610000e5eb903bbd69a4413930bb99d063;1389116;70;dance pop, danish pop, electropop, pop, tropical house, uk pop;14;1/6/2017;TRUE;FALSE;2016-07-22;608;798;6;0;4;-5.092;0.0432;0.0736;0;156;501;92.943;185351;1;14278458;14
78rIJddV4X0HkNAInEcYde;Call On Me - Ryan Riback Extended Remix;43;6;4pZbAcipxqdFcwjiFkuwes;Call On Me (Remixes);https://i.scdn.co/image/ab67616d0000b2735d88d9e54833409f2a1a1fa7;single;All Around The World;6;34;2;Starley, Ryan Riback;02A3cEvlLLCbIMVDrK2GHV;Starley;https://i.scdn.co/image/ab6761610000e5eb35f7fd848c6ec8218ec904e8;175677;58;aussietronica, australian pop, dance pop, deep tropical house, edm, electropop, pop dance, pop edm, tropical house, uk pop;15;1/6/2017;TRUE;FALSE;2016-10-14;0.67;838;0;1;4;-4.031;0.0362;0.0604;0.000611;159;717;104.998;222040;0;14030444;15
78rIJddV4X0HkNAInEcYde;Call On Me - Ryan Riback Extended Remix;43;6;4pZbAcipxqdFcwjiFkuwes;Call On Me (Remixes);https://i.scdn.co/image/ab67616d0000b2735d88d9e54833409f2a1a1fa7;single;All Around The World;6;34;2;Starley, Ryan Riback;33JQK4UoS2aMPYBfdB5Ftt;Ryan Riback;https://i.scdn.co/image/ab6761610000e5eb3711298a3766f6ad38dac671;13457;58;melbourne bounce;15;1/6/2017;TRUE;FALSE;2016-10-14;0.67;838;0;1;4;-4.031;0.0362;0.0604;0.000611;159;717;104.998;222040;1;14030444;15
